,BusinessName,Address,City,State,ZIP,location,coordinates,longitude,lattitude
0,"Richards Cosmetic Surgery, Med Spa & Laser Center",3860 S Hualapai Way,Las Vegas,NV,89147,3860 S Hualapai Way Las Vegas NV 89147,"[-115.31436, 36.120195]",-115.31436,36.120195
1,OrangeTwist,10000 W Sahara Ave,Las Vegas,NV,89117,10000 W Sahara Ave Las Vegas NV 89117,"[-115.313125, 36.145515]",-115.313125,36.145515
2,Beverly Hills Rejuvenation Center - Boca Park,750 S Rampart Blvd Suite 4,Las Vegas,NV,89117,750 S Rampart Blvd Suite 4 Las Vegas NV 89145,"[-115.28944, 36.164]",-115.28944,36.164
3,Ideal Image Summerlin,1925 Village Center Cir Suite 130,Las Vegas,NV,89134,1925 Village Center Cir Suite 130 Las Vegas NV 89134,"[-115.303535, 36.192585]",-115.303535,36.192585
4,Belle Medical,6200 N Durango Dr Suite 110,Las Vegas,NV,89149,6200 N Durango Dr Suite 110 Las Vegas NV 89149,"[-115.283115, 36.274785]",-115.283115,36.274785
5,Laser Away,6551 Las Vegas Blvd S Ste R-144,Las Vegas,NV,89119,6551 Las Vegas Blvd S Ste R-144 Las Vegas NV 89119,"[-115.17668, 36.06942]",-115.17668,36.06942
6,Face Forward Aesthetics,2649 Wigwam Pkwy Suite 101,Henderson,NV,89074,2649 Wigwam Pkwy Suite 101 Henderson NV 89074,"[-115.102148, 36.03366]",-115.102148,36.03366
7,Elements Salon & Wellness Spa,6461 N Durango Dr,Las Vegas,NV,89149,6461 N Durango Dr Las Vegas NV 89149,"[-115.27891, 36.27858]",-115.27891,36.27858
8,Body Wellness MD,501 S Rancho Dr Suite F-38,Las Vegas,NV,89106,501 S Rancho Dr Suite F-38 Las Vegas NV 89106,"[-115.17241, 36.16615]",-115.17241,36.16615
9,Golden Nugget Las Vegas Hotel & Casino,129 E Fremont St,Las Vegas,NV,89101,129 E Fremont St Las Vegas NV 89101,"[-115.14138, 36.16946]",-115.14138,36.16946
10,Planet Hollywood Spa by Mandara,3667 S Las Vegas Blvd,Las Vegas,NV,89109,3667 S Las Vegas Blvd Las Vegas NV 89109,"[-115.17189, 36.11016]",-115.17189,36.11016
11,Simplicity Laser,7591 W Washington Ave #140,Las Vegas,NV,89128,7591 W Washington Ave #140 Las Vegas NV 89128,"[-115.25917, 36.18088]",-115.25917,36.18088
12,The Platinum Hotel & Spa,211 E Flamingo Rd,Las Vegas,NV,89169,211 E Flamingo Rd Las Vegas NV 89169,"[-115.16367, 36.11433]",-115.16367,36.11433
13,M Resort Spa Casino,12300 Las Vegas Blvd S,Henderson,NV,89044,12300 Las Vegas Blvd S Henderson NV 89044,"[-115.16864, 35.96485]",-115.16864,35.96485
14,Foxy Med Spa,6725 S Eastern Ave Suite #3,Las Vegas,NV,89119,6725 S Eastern Ave Suite #3 Las Vegas NV 89119,"[-115.1192, 36.067585]",-115.1192,36.067585
15,Massage 1,6446 N Durango Dr STE 130,Las Vegas,NV,89149,6446 N Durango Dr STE 130 Las Vegas NV 89149,"[-115.27876, 36.27827]",-115.27876,36.27827
16,Well Spa Salon,211 E Flamingo Rd,Las Vegas,NV,89169,211 E Flamingo Rd Las Vegas NV 89169,"[-115.16367, 36.11433]",-115.16367,36.11433
17,Spa At The LINQ,3535 S Las Vegas Blvd,Las Vegas,NV,89109,3535 S Las Vegas Blvd Las Vegas NV 89109,"[-115.1707, 36.11834]",-115.1707,36.11834
18,Elements Massage,1215 S Fort Apache Rd,#150,NV,89117,1215 S Fort Apache Rd #150 NV 89117,"[-115.2926, 36.15704]",-115.2926,36.15704
19,Sono Bello Las Vegas,7455 Arroyo Crossing Pkwy Ste 100,Las Vegas,NV,89113,7455 Arroyo Crossing Pkwy Ste 100 Las Vegas NV 89113,"[-115.25207, 36.05251]",-115.25207,36.05251
20,LOOK STYLE SOCIETY,6539 S Las Vegas Blvd,Las Vegas,NV,89119,6539 S Las Vegas Blvd Las Vegas NV 89119,"[-115.17249, 36.07006]",-115.17249,36.07006
21,Las Vegas Laser Skin Care,3655 S Durango Dr Ste 24,Las Vegas,NV,89147,3655 S Durango Dr Ste 24 Las Vegas NV 89147,"[-115.27962, 36.12322]",-115.27962,36.12322
22,Stretch Zone,4965 Blue Diamond Rd,Las Vegas,NV,89139,4965 Blue Diamond Rd Las Vegas NV 89139,"[-115.2088, 36.03121]",-115.2088,36.03121
23,PlushCare Primary Health,101 Mission St Suite 800,Las Vegas,NV,89109,101 Mission St Suite 800 Las Vegas NV 89109,"[-115.151764, 36.139254]",-115.151764,36.139254
25,HairClub,500 N Rainbow Blvd,Las Vegas,NV,89107,500 N Rainbow Blvd Las Vegas NV 89107,"[-115.24163, 36.17807]",-115.24163,36.17807
26,Bosley Hair Transplant & Restoration,500 North Rainbow Boulevard,Las Vegas,NV,89107,500 North Rainbow Boulevard Las Vegas NV 89107,"[-115.24163, 36.17807]",-115.24163,36.17807
27,Sam's Club,2650 E Craig Rd,North Las Vegas,NV,89030,2650 E Craig Rd North Las Vegas NV 89030,"[-115.11363, 36.24175]",-115.11363,36.24175
28,Luxe Beauty Salon,2225 N Rampart Blvd,Las Vegas,NV,89128,2225 N Rampart Blvd Las Vegas NV 89128,"[-115.28149, 36.20086]",-115.28149,36.20086
29,NIMA Institute and Spa,3993 Howard Hughes Pkwy Suite 150,Las Vegas,NV,89169,3993 Howard Hughes Pkwy Suite 150 Las Vegas NV 89169,"[-115.15861, 36.1173]",-115.15861,36.1173
30,Euphoria Institute of Beauty Arts & Sciences,9340 W Sahara Ave Suite 205,Las Vegas,NV,89117,9340 W Sahara Ave Suite 205 Las Vegas NV 89117,"[-115.2984, 36.14624]",-115.2984,36.14624
31,Milan Institute - Las Vegas,710 S Tonopah Dr,Las Vegas,NV,89106,710 S Tonopah Dr Las Vegas NV 89106,"[-115.17008, 36.16243]",-115.17008,36.16243
32,MD Laser Med Spa,7175 W Lake Mead Blvd,Las Vegas,NV,89128,7175 W Lake Mead Blvd Las Vegas NV 89128,"[-115.24813, 36.19553]",-115.24813,36.19553
33,MICRO MED SPA,1650 E Sahara Ave #2,Las Vegas,NV,89104,1650 E Sahara Ave #2 Las Vegas NV 89104,"[-115.128725, 36.14472]",-115.128725,36.14472
34,Beverly Hills Rejuvenation Center,1825 Festival Plaza Dr #180,Las Vegas,NV,89135,1825 Festival Plaza Dr #180 Las Vegas NV 89135,"[-115.3343, 36.15128]",-115.3343,36.15128
